Info on the massive 1146 galaxies across all haloes: 

## Largest 1146 galaxies
## from: /disk01/rad/sim/m25n1024/s50/Groups/m25n1024_036.hdf5
## 1146 @ z=5.930

 ID    Mstar     Mgas      SFR       r         fgas   nrho      Central	|  Mhalo     HID
 0188  1.61e+07  8.05e+08  5.94e-02  2.34e+00  0.980  3.82e-09  True	|  9.77e+10  30 
 0189  1.01e+07  8.11e+08  6.39e-02  2.44e+00  0.988  5.73e-09  True	|  3.99e+10  172 
 0190  1.82e+07  8.02e+08  6.05e-02  3.52e+00  0.978  3.82e-09  True	|  4.09e+10  168 
 0191  1.43e+07  8.05e+08  1.07e-01  1.97e+00  0.983  1.91e-09  True	|  2.61e+10  350 
 0192  3.30e+07  7.85e+08  2.30e-02  3.95e+00  0.960  1.91e-09  True	|  2.42e+10  393 
 0193  3.03e+07  7.81e+08  2.27e-01  3.20e+00  0.963  1.91e-09  True	|  2.17e+10  465 
 0194  4.60e+07  7.62e+08  1.30e-01  2.58e+00  0.943  3.82e-09  True	|  5.11e+10  110 
 0195  1.84e+07  7.90e+08  6.76e-02  2.47e+00  0.977  3.82e-09  True	|  2.98e+10  279 
 0196  8.79e+07  7.19e+08  2.06e-01  2.14e+00  0.891  3.82e-09  True	|  6.21e+10  78 
 0197  1.25e+07  7.92e+08  2.22e-02  3.45e+00  0.984  5.73e-09  True	|  4.92e+10  118 
 0198  3.87e+07  7.64e+08  6.06e-02  3.44e+00  0.952  3.82e-09  True	|  2.63e+10  346 
 0199  3.93e+07  7.62e+08  6.25e-02  3.24e+00  0.951  1.91e-09  True	|  3.35e+10  222 
 0200  1.42e+07  7.86e+08  1.83e-02  2.25e+00  0.982  1.91e-09  True	|  1.66e+10  702 
 0201  3.00e+07  7.65e+08  1.13e-01  2.02e+00  0.962  1.91e-09  True	|  2.55e+10  360 
 0202  2.71e+07  7.62e+08  7.76e-02  1.94e+00  0.966  1.91e-09  True	|  2.84e+10  307 
 0203  2.51e+07  7.63e+08  7.03e-02  3.94e+00  0.968  3.82e-09  False	|  5.60e+10  92 
 0204  2.39e+07  7.60e+08  3.65e-02  2.67e+00  0.970  1.91e-09  True	|  3.36e+10  219 
 0205  2.67e+07  7.53e+08  4.78e-02  3.34e+00  0.966  1.91e-09  True	|  2.79e+10  311 
 0206  2.25e+07  7.37e+08  6.96e-02  6.49e+00  0.970  1.91e-09  True	|  2.73e+10  324 
 0207  3.15e+07  7.28e+08  1.87e-01  3.56e+00  0.959  3.82e-09  True	|  3.90e+10  176 
 0208  8.03e+06  7.49e+08  3.04e-02  4.39e+00  0.989  1.91e-09  True	|  1.13e+10  1220 
 0209  2.07e+07  7.28e+08  3.08e-02  2.77e+00  0.972  3.82e-09  True	|  2.87e+10  296 
 0210  3.34e+07  7.11e+08  7.98e-02  2.71e+00  0.955  3.82e-09  True	|  2.49e+10  375 
 0211  1.43e+07  7.25e+08  1.32e-02  3.00e+00  0.981  3.82e-09  True	|  3.93e+10  175 
 0212  2.42e+07  7.08e+08  1.07e-01  2.58e+00  0.967  9.55e-09  False	|  1.54e+11  16 
 0213  1.53e+07  7.16e+08  1.79e-01  2.75e+00  0.979  1.91e-09  True	|  2.27e+10  431 
 0214  1.18e+07  7.15e+08  5.29e-02  3.16e+00  0.984  1.91e-09  True	|  2.56e+10  358 
 0215  1.95e+07  7.06e+08  7.28e-02  2.33e+00  0.973  5.73e-09  True	|  2.40e+10  399 
 0216  2.16e+07  7.01e+08  2.22e-02  2.64e+00  0.970  5.73e-09  True	|  4.13e+10  165 
 0217  3.13e+07  6.87e+08  5.12e-02  3.00e+00  0.956  9.55e-09  True	|  3.32e+10  228 
 0218  1.32e+08  5.86e+08  2.45e-01  2.35e+00  0.816  3.82e-09  True	|  5.84e+10  87 
 0219  3.29e+07  6.82e+08  3.15e-01  2.13e+00  0.954  1.91e-09  True	|  1.58e+11  15 
 0220  2.59e+07  6.85e+08  7.86e-02  4.59e+00  0.964  3.82e-09  True	|  2.40e+10  400 
 0221  2.40e+07  6.85e+08  9.07e-02  2.31e+00  0.966  3.82e-09  False	|  3.90e+10  176 
 0222  8.70e+06  7.01e+08  1.08e-01  6.96e+00  0.988  1.34e-08  False	|  5.69e+11  1 
 0223  1.48e+07  6.94e+08  1.81e-01  3.98e+00  0.979  1.91e-09  True	|  4.38e+10  149 
 0224  4.26e+07  6.64e+08  2.23e-01  2.60e+00  0.940  5.73e-09  True	|  3.67e+10  188 
 0225  3.15e+07  6.71e+08  9.29e-02  3.89e+00  0.955  3.82e-09  True	|  2.22e+10  449 
 0226  3.35e+07  6.69e+08  4.40e-02  2.91e+00  0.952  1.91e-09  True	|  2.62e+10  347 
 0227  2.83e+07  6.73e+08  1.40e-01  2.55e+00  0.960  1.91e-09  True	|  3.02e+10  271 
 0228  2.75e+07  6.66e+08  1.15e-01  2.09e+00  0.960  3.82e-09  True	|  7.27e+10  57 
 0229  1.59e+07  6.77e+08  5.29e-02  3.25e+00  0.977  1.91e-09  True	|  2.60e+10  352 
 0230  1.58e+07  6.75e+08  9.31e-02  3.19e+00  0.977  3.82e-09  True	|  4.87e+10  120 
 0231  8.18e+06  6.82e+08  8.51e-03  3.62e+00  0.988  1.91e-09  True	|  1.66e+10  705 
 0232  1.47e+07  6.76e+08  5.18e-02  3.10e+00  0.979  1.91e-09  True	|  3.09e+10  255 
