
## Largest 1146 Galaxies 
## from: /mnt/ceph/users/daisyleung/simba/sim/m25n1024/s50/Groups/m25n1024_036.hdf5
## 1146 @ z=5.930

 ID      Mstar     Mgas      MBH    fedd    SFR [Msun/yr]       r_baryon   r_gas      r_gas_half_mass      r_stellar    r_stellar_half_mass    Z_sfrWeighted [/Zsun]    Z_massWeighted     Z_stellar     T_gas_massWeighted    T_gas_SFRWeighted   fgas   nrho      Central	|  Mhalo     HID
 0087  4.41e+07  1.20e+09  0.00e+00  0.00e+00  1.03e-01  7.98e+00  7.98e+00  9.50e-01  7.84e+00  3.95e-01   0.055   0.000  0.000  1.18e+04  1.94e+04  0.965  7.64e-09  True	|  -1.00e+00  -1 
 0088  2.52e+07  1.21e+09  0.00e+00  0.00e+00  6.71e-02  2.62e+00  2.62e+00  9.53e-01  1.22e+00  4.74e-01   0.050   0.000  0.000  1.28e+04  2.08e+04  0.980  1.91e-09  True	|  -1.00e+00  -1 
 0089  1.12e+07  1.21e+09  0.00e+00  0.00e+00  2.16e-01  5.44e+00  5.44e+00  1.75e+00  3.36e+00  1.82e+00   0.060   0.000  0.000  1.54e+04  4.66e+04  0.991  5.73e-09  True	|  -1.00e+00  -1 
 0090  2.74e+07  1.19e+09  0.00e+00  0.00e+00  9.46e-02  3.96e+00  3.96e+00  1.54e+00  2.74e+00  2.17e-01   0.050   0.000  0.000  1.30e+04  2.36e+04  0.978  1.91e-09  True	|  -1.00e+00  -1 
 0091  5.44e+07  1.17e+09  0.00e+00  0.00e+00  2.54e-01  5.76e+00  5.76e+00  5.78e-01  2.83e+00  3.32e-01   0.057   0.000  0.001  1.56e+04  2.66e+04  0.955  1.91e-09  True	|  -1.00e+00  -1 
 0092  5.31e+07  1.17e+09  0.00e+00  0.00e+00  1.18e-01  2.51e+00  2.51e+00  8.64e-01  1.53e+00  3.87e-01   0.059   0.000  0.001  1.36e+04  2.17e+04  0.956  7.64e-09  False	|  -1.00e+00  -1 
 0093  2.68e+07  1.19e+09  0.00e+00  0.00e+00  1.47e-01  5.06e+00  5.06e+00  2.46e+00  4.72e+00  3.25e+00   0.045   0.000  0.000  1.37e+04  2.82e+04  0.978  1.91e-09  True	|  -1.00e+00  -1 
 0094  1.71e+07  1.20e+09  0.00e+00  0.00e+00  1.96e-01  4.94e+00  4.94e+00  8.72e-01  4.91e+00  2.70e-01   0.043   0.000  0.000  1.51e+04  3.64e+04  0.986  1.91e-09  True	|  -1.00e+00  -1 
 0095  1.59e+07  1.20e+09  0.00e+00  0.00e+00  5.81e-02  3.50e+00  3.50e+00  1.82e+00  3.31e+00  2.09e+00   0.040   0.000  0.000  1.40e+04  2.30e+04  0.987  1.91e-09  True	|  -1.00e+00  -1 
 0096  1.82e+07  1.19e+09  0.00e+00  0.00e+00  4.32e-02  3.58e+00  3.58e+00  1.04e+00  2.21e+00  2.99e-01   0.042   0.000  0.000  1.28e+04  2.01e+04  0.985  1.91e-09  True	|  -1.00e+00  -1 
 0097  7.16e+07  1.14e+09  0.00e+00  0.00e+00  1.47e-01  7.51e+00  7.51e+00  2.28e+00  1.81e+00  2.07e-01   0.071   0.000  0.001  1.08e+04  3.09e+04  0.941  1.34e-08  False	|  -1.00e+00  -1 
 0098  3.72e+07  1.17e+09  0.00e+00  0.00e+00  2.11e-01  3.57e+00  3.57e+00  7.38e-01  1.89e+00  3.77e-01   0.046   0.000  0.001  1.58e+04  2.88e+04  0.969  7.64e-09  False	|  -1.00e+00  -1 
 0099  8.81e+07  1.12e+09  0.00e+00  0.00e+00  3.06e-01  3.78e+00  3.78e+00  6.27e-01  1.29e+00  2.80e-01   0.065   0.000  0.001  1.57e+04  2.48e+04  0.927  1.91e-09  True	|  -1.00e+00  -1 
